Company Name,Country,Email ID,Phone,Industry,Website
Company Name,Country,N/A,Phone,Industry,Website
BP / Castrol,UK,UKTechService@castrol.com,N/A,Lubricants,https://www.castrol.com/
Fuchs Petrolub,Germany,kontakt@fuchs.com,N/A,Lubricants,https://www.fuchs.com/group/
AP Oil International,Singapore,contact@sansoxygen.com,N/A,Lubricants,http://www.ap-oil.com/
Armor Lubricants,UAE,sales@armorlubricants.com,N/A,Lubricants,https://armorlubricants.com/
LIQUI MOLY,Germany,info@liqui-moly.de,N/A,Lubricants,https://www.liqui-moly.com/
Motul,France,marketing@motul.co.id,N/A,Lubricants,https://www.motul.com/
AkzoNobel,Netherlands,sourcing@akzonobel.com,N/A,Paints,https://www.akzonobel.com/
BASF Coatings,Germany,cert@basf.com,N/A,Paints,https://www.basf-coatings.com/
RPM International,USA,info@rpminc.com,N/A,Paints,https://www.rpminc.com/
Axalta Coating Systems,USA,Info-US@axalta.com,N/A,Paints,https://www.axalta.com/
Hempel,Denmark,hempel@hempel.com,N/A,Paints,https://www.hempel.com/
Benjamin Moore,USA,info@benjaminmoore.com,N/A,Paints,https://www.benjaminmoore.com/
Tikkurila,Finland,tikkurila.exportdepartment@tikkurila.com,N/A,Paints,https://www.tikkurila.com/
DAW SE,Germany,info@daw.de,N/A,Paints,https://www.daw.de/
Brillux,Germany,info@brillux.de,N/A,Paints,https://www.brillux.de/
Guangdong Yinyang,China,marketing@yinyangresin.com,N/A,Plastics,https://www.yinyangpolymers.com/
An Phat Holdings,Vietnam,info@anphatholdings.vn,N/A,Plastics,https://anphatholdings.com/
ML Lubrication,Germany,info@ml-lubrication.com,+49 9721 65950,Lubricants,http://www.ml-lubrication.com/
FUCHS LUBRITECH GmbH,Germany,zentrale-flg@fuchs.com,+49 6301 32060,Lubricants,https://www.fuchs.com/de/
Zeller+Gmelin GmbH & Co. KG,Germany,info@zeller-gmelin.de; chai@chai-d.co.il; cosmomax@t-home.mk,+49 7161 8020,Lubricants,https://www.zeller-gmelin.de/
Carl Bechem GmbH,Germany,bechem@bechem.de; marketing@bechem.de; bechem.whistleblowing@via-consult.de,+49 2331 6350,Lubricants,https://www.bechem.de/
OKS Spezialschmierstoffe GmbH,Germany,info@oks-germany.com; m.theobald@oks-germany.com,+49 8142 30510,Lubricants,https://www.oks-germany.com/
Baril Coatings USA,USA,Manual Search Required,+1 260-665-8431,Paints,https://barilcoatings.us/
Hempel Paints (USA) Inc.,USA,hempel@hempel.com,+1 214-353-1600,Paints,http://www.hempel.com/
Induron Protective Coatings,USA,info@Induron.com; service@induron.com; techservice@induron.com; AR@induron.com; rgermany@induron.com; bconner@induron.com; njones@induron.com; mwatson@induron.com; darrington@induron.com; rburckley@induron.com; andyo@induron.com; gcurry@induron.com; cparadis@induron.com; sfreed@induron.com; ksmith@induron.com; crowell@induron.com; browland@induron.com; wseawell@induron.com; jthomas@induron.com; ventas@energiasas.com; gerencia@energiasas.com,+1 205-324-9545,Paints,https://www.induron.com/
Tnemec Company Inc.,USA,Marketing@tnemec.com; IST@tnemec.com; guo@tnemec.com; ventas@vinaldom.com; sclj@scl-group.com; Jesse.Chung@tnemec.com; gabby-arellano@hotmail.com; manuel@intertradecaribe.com; info@gulfhorizon.com; jason@royson.com.tw; sales@scl-group.com; fatih.kastan@cagdasboya.com,+1 816-483-3400,Paints,https://www.tnemec.com/
Cloverdale Paint,USA,noreply@cloverdalepaint.com,+1 800-661-4406,Paints,https://www.cloverdalepaint.com/
Aalmir Plastic Manufacturer,UAE,Manual Search Required,+971 6 534 2603,Plastics,https://aalmirplastic.com/
Cosmoplast,UAE,Manual Search Required,+971 6 533 1260,Plastics,http://www.cosmoplast.com/
